key,name,notes,expected-percentage,kind,key:strategy
tactic-01,"Public Grants","Apply for co-financing grants with predefined eligibility screening.",35.00,SUBTLE,strategy-01
tactic-02,"Private Syndicate","Coordinate private investors through staged commitments.",25.00,AGGRESSIVE,strategy-01
tactic-03,"Pilot Partnerships","Negotiate pilot agreements with incubators and local clusters.",50.00,TENDER,strategy-02
tactic-04,A,"Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",0.00,SUBTLE,strategy-04
tactic-05,Lo,"Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",0.01,AGGRESSIVE,strategy-04
tactic-06,"Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",0.10,TENDER,strategy-05
tactic-07,"Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mil","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",0.25,SUBTLE,strategy-05
tactic-08,โลเร็ม อิปซัม,"Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",0.50,AGGRESSIVE,strategy-06
tactic-09,لوريم إيبسوم,"Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",1.00,TENDER,strategy-06
tactic-10,洛伦·伊普森,"Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",49.99,SUBTLE,strategy-07
tactic-11,<marquee>Hacked</marquee>,"Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",50.00,AGGRESSIVE,strategy-07
tactic-12,<script>alert('Hacked!');</script>,"Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",99.99,TENDER,strategy-08
tactic-13,' or 'A' = 'A,"Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",100.00,SUBTLE,strategy-08
#prueba notes
tactic-14,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",50.00,AGGRESSIVE,strategy-09
tactic-15,"Vestibulum id ligula porta felis euis!",L,50.00,TENDER,strategy-09
tactic-16,"Vestibulum id ligula porta felis euis!",Lo,50.00,SUBTLE,strategy-10
tactic-17,"Vestibulum id ligula porta felis euis!","Fusce dapibus, tellus ac cursus commodo, tortor mauris condimentum nibh, ut fermentum massa justo sit amet risus. Vivamus sagittis lacus vel augue laoreet rutrum faucibus dolor auctor. Aenean lacinia bibendum nulla sed consectetur. Donec sed odio dui el",50.00,AGGRESSIVE,strategy-10
tactic-18,"Vestibulum id ligula porta felis euis!","Fusce dapibus, tellus ac cursus commodo, tortor mauris condimentum nibh, ut fermentum massa justo sit amet risus. Vivamus sagittis lacus vel augue laoreet rutrum faucibus dolor auctor. Aenean lacinia bibendum nulla sed consectetur. Donec sed odio dui el*",50.00,TENDER,strategy-11
tactic-19,"Vestibulum id ligula porta felis euis!",โลเร็ม อิปซัม,50.00,SUBTLE,strategy-11
tactic-20,"Vestibulum id ligula porta felis euis!",لوريم إيبسوم,50.00,AGGRESSIVE,strategy-12
tactic-21,"Vestibulum id ligula porta felis euis!",洛伦·伊普森,50.00,TENDER,strategy-12
tactic-22,"Vestibulum id ligula porta felis euis!",<marquee>Hacked</marquee>,50.00,SUBTLE,strategy-13
tactic-23,"Vestibulum id ligula porta felis euis!",<script>alert('Hacked!');</script>,50.00,AGGRESSIVE,strategy-13
tactic-24,"Vestibulum id ligula porta felis euis!",' or 'A' = 'A,50.00,TENDER,strategy-14
#prueba expected-percentage
tactic-25,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",0.00,SUBTLE,strategy-15
tactic-26,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",0.01,AGGRESSIVE,strategy-15
tactic-27,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",0.02,TENDER,strategy-16
tactic-28,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",49.99,SUBTLE,strategy-16
tactic-29,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",50.00,AGGRESSIVE,strategy-17
tactic-30,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",99.99,TENDER,strategy-17
tactic-31,"Vestibulum id ligula porta felis euis!","Nullam quis risus eget urna mollis ornare vel eu leo. Donec id elit non mi. Cras justo odio, dapibus ac congue id, metus eges*",100.00,SUBTLE,strategy-18
#prueba kind
